Stone Shape,Sieve /  MM,Stone Size
STRAIGHT BAGUETTE,3.75X2.50,0.16
STRAIGHT BAGUETTE,4.00X1.50,0.08
STRAIGHT BAGUETTE,4.00X1.75,0.1
STRAIGHT BAGUETTE,4.00X2.00,0.12
STRAIGHT BAGUETTE,4.00X2.75,0.21
STRAIGHT BAGUETTE,4.00X3.00,0.25
STRAIGHT BAGUETTE,4.25X1.75,0.11
STRAIGHT BAGUETTE,4.25X2.00,0.13
STRAIGHT BAGUETTE,4.25X2.25,0.16
STRAIGHT BAGUETTE,4.50X1.25,0.08
STRAIGHT BAGUETTE,4.50X1.50,0.08
STRAIGHT BAGUETTE,4.50X2.00,0.15
STRAIGHT BAGUETTE,4.50X2.25,0.17
STRAIGHT BAGUETTE,4.50X2.50,0.22
STRAIGHT BAGUETTE,4.50X2.75,0.25
STRAIGHT BAGUETTE,4.75X1.50,0.09
STRAIGHT BAGUETTE,4.75X2.00,0.15
STRAIGHT BAGUETTE,4.75X2.50,0.23
STRAIGHT BAGUETTE,5.00X2.00,0.15
STRAIGHT BAGUETTE,5.00X2.50,0.23
STRAIGHT BAGUETTE,5.00X3.00,0.33
STRAIGHT BAGUETTE,5.50X2.50,0.26
STRAIGHT BAGUETTE,5.50X3.25,0.35
STRAIGHT BAGUETTE,5.50X3.50,0.38
STRAIGHT BAGUETTE,6.00X3.00,0.41
STRAIGHT BAGUETTE,6.00X3.25,0.47
STRAIGHT BAGUETTE,6.00X3.50,0.53
STRAIGHT BAGUETTE,6.00X3.75,0.6
STRAIGHT BAGUETTE,6.00X4.00,0.68
STRAIGHT BAGUETTE,6.25X3.00,0.43
STRAIGHT BAGUETTE,6.25X3.25,0.49
STRAIGHT BAGUETTE,6.25X3.50,0.56
STRAIGHT BAGUETTE,6.25X3.75,0.63
STRAIGHT BAGUETTE,6.25X4.00,0.71
STRAIGHT BAGUETTE,6.50X3.25,0.51
STRAIGHT BAGUETTE,6.50X3.50,0.58
STRAIGHT BAGUETTE,6.50X3.75,0.66
STRAIGHT BAGUETTE,6.50X4.00,0.74
Tappers,2.25X1.25X1.00,0.03
Tappers,2.25X1.75X1.25,0.04
Tappers,2.50X1.00X0.50,0.03
Tappers,2.50X1.25X1.00,0.04
Tappers,2.50X1.50X1.00,0.04
Tappers,2.50X1.50X1.25,0.04
Tappers,2.50X1.75X1.00,0.05
Tappers,2.50X1.75X1.25,0.05
Tappers,2.50X2.00X1.50,0.05
Tappers,2.75X1.00X0.50,0.035
Tappers,2.75X1.25X0.75,0.04
Tappers,2.75X1.25X1.00,0.04
Tappers,2.75X1.50X1.00,0.04
Tappers,2.75X1.50X1.25,0.05
Tappers,2.75X1.75X1.25,0.05
Tappers,3.00X1.25X0.75,0.04
Tappers,3.00X1.25X1.00,0.04
Tappers,3.00X1.50X1.00,0.04
Tappers,3.00X1.50X1.25,0.05
Tappers,3.00X1.75X1.00,0.06
Tappers,3.00X1.75X1.25,0.05
Tappers,3.00X2.00X1.00,0.07
Tappers,3.00X2.00X1.50,0.06
Tappers,3.00X2.50X1.75,0.1
Tappers,3.25X1.00X0.50,0.04
Tappers,3.25X1.25X1.00,0.04
Tappers,3.25X1.50X0.75,0.04
Tappers,3.25X1.50X1.25,0.04
Tappers,3.25X1.75X1.00,0.06
Tappers,3.25X1.75X1.50,0.07
Tappers,3.25X2.00X1.00,0.08
Tappers,3.25X2.00X1.25,0.08
Tappers,3.25X2.00X1.50,0.07
Tappers,3.25X2.50X1.75,0.12
Tappers,3.50X1.25X1.00,0.06
Tappers,3.50X1.50X1.00,0.06
Tappers,3.50X1.75X1.00,0.07
Tappers,3.50X1.75X1.25,0.08
Tappers,3.50X2.00X1.00,0.09
Tappers,3.50X2.00X1.25,0.08
Tappers,3.50X2.00X1.50,0.11
Tappers,3.50X2.50X1.50,0.12
Tappers,3.75X1.25X1.00,0.07
Tappers,3.75X1.75X1.25,0.08
Tappers,3.75X2.00X1.25,0.09
Tappers,3.75X2.00X1.50,0.09
Tappers,3.75X2.25X1.75,0.12
Tappers,4.00X1.25X1.00,0.08
Tappers,4.00X1.50X1.00,0.08
Tappers,4.00X1.75X1.25,0.08
Tappers,4.00X2.00X1.00,0.08
Tappers,4.00X2.00X1.50,0.1
Tappers,4.00X2.25X1.75,0.1
Tappers,4.00X2.50X1.75,0.13
Tappers,4.25X2.00X1.50,0.1
Tappers,4.25X2.25X1.50,0.12
Tappers,4.25X2.50X1.50,0.13
Tappers,4.25X2.75X1.75,0.15
Tappers,4.50X1.50X1.25,0.06
Tappers,4.50X2.00X1.00,0.08
Tappers,4.50X2.00X1.50,0.09
Tappers,4.50X2.25X1.50,0.12
Tappers,4.50X2.50X1.50,0.14
Tappers,4.50X2.50X1.75,0.14
Tappers,4.50X2.75X1.75,0.16
Tappers,4.75X2.00X1.50,0.1
Tappers,4.75X2.50X1.50,0.15
Tappers,4.75X2.50X2.00,0.16
Tappers,4.75X3.00X2.00,0.2
Tappers,5.00X2.25X1.25,0.14
Tappers,5.00X2.25X1.75,0.15
Tappers,5.00X2.75X2.00,0.19
Tappers,5.50X2.50X1.00,0.16
Tappers,5.50X3.00X2.25,0.25
Tappers,5.50X3.00X2.30,0.25
Tappers,5.50X3.25X2.00,0.25
Tappers,5.50X3.50X2.25,0.26
Tappers,6.00X3.00X2.00,0.27
Tappers,6.00X3.25X2.00,0.33
Tappers,6.00X3.50X2.25,0.36
Tappers,6.00X3.75X2.50,0.41
Tappers,6.00X4.00X2.75,0.47
Tappers,6.00X4.00X3.00,0.48
Tappers,6.25X3.00X2.00,0.28
Tappers,6.25X3.25X2.25,0.33
Tappers,6.25X3.50X2.50,0.4
Tappers,6.25X3.75X2.75,0.44
Tappers,6.25X4.00X3.00,0.51
Tappers,6.50X3.25X2.25,0.35
Tappers,6.50X3.50X2.50,0.4
Tappers,6.50X3.75X2.75,0.45
Tappers,6.50X4.00X3.00,0.54
