Shape,AVGMM,Price Group,Pointer range,MINMM,MAXMM,MINWT,MAXWT,AVGWT
TRILLIANT,3.10 X 3.18,TR12,0.09-0.12,3.00 X 2.99,3.20 X 3.37,0.08000,0.12000,0.10000
TRILLIANT,3.20 X 3.18,TR12,0.09-0.12,3.10 X 2.99,3.30 X 3.37,0.09000,0.13000,0.11000
TRILLIANT,3.30 X 3.57,TR12,0.09-0.12,3.20 X 3.38,3.40 X 3.75,0.10000,0.14000,0.12000
TRILLIANT,3.40 X 3.57,TR17,0.13-0.17,3.30 X 3.38,3.50 X 3.75,0.11000,0.15000,0.13000
TRILLIANT,3.50 X 3.57,TR17,0.13-0.17,3.40 X 3.38,3.60 X 3.75,0.12000,0.16000,0.14000
TRILLIANT,3.60 X 3.57,TR17,0.13-0.17,3.50 X 3.38,3.70 X 3.75,0.13000,0.17000,0.15000
TRILLIANT,3.70 X 3.92,TR17,0.13-0.17,3.60 X 3.76,3.80 X 4.08,0.14000,0.18000,0.16000
TRILLIANT,3.80 X 3.92,TR18,0.18-0.22,3.70 X 3.76,3.90 X 4.08,0.16000,0.20000,0.18000
TRILLIANT,3.90 X 3.92,TR18,0.18-0.22,3.80 X 3.76,4.00 X 4.08,0.17000,0.21000,0.19000
TRILLIANT,4.00 X 4.25,TR18,0.18-0.22,3.90 X 4.09,4.10 X 4.40,0.19000,0.23000,0.21000
TRILLIANT,4.10 X 4.25,TR18,0.18-0.22,4.00 X 4.09,4.20 X 4.40,0.20000,0.24000,0.22000
TRILLIANT,4.20 X 4.25,TR23,0.23-0.29,4.10 X 4.09,4.30 X 4.40,0.22000,0.26000,0.24000
TRILLIANT,4.30 X 4.57,TR23,0.23-0.29,4.20 X 4.41,4.40 X 4.73,0.24000,0.28000,0.26000
TRILLIANT,4.40 X 4.57,TR23,0.23-0.29,4.30 X 4.41,4.50 X 4.73,0.26000,0.30000,0.28000
TRILLIANT,4.50 X 4.57,TR30,0.30-0.39,4.40 X 4.41,4.60 X 4.73,0.28000,0.32000,0.30000
TRILLIANT,4.60 X 4.57,TR30,0.30-0.39,4.50 X 4.41,4.70 X 4.73,0.30000,0.34000,0.32000
TRILLIANT,4.70 X 4.92,TR30,0.30-0.39,4.60 X 4.74,4.80 X 5.10,0.32000,0.36000,0.34000
TRILLIANT,4.80 X 4.92,TR36,0.36-0.45,4.70 X 4.74,4.90 X 5.10,0.34000,0.38000,0.36000
TRILLIANT,4.90 X 4.92,TR36,0.36-0.45,4.80 X 4.74,5.00 X 5.10,0.37000,0.41000,0.39000
TRILLIANT,5.00 X 4.92,TR40,0.40-0.49,4.90 X 4.74,5.10 X 5.10,0.39000,0.43000,0.41000
TRILLIANT,5.10 X 5.22,TR40,0.40-0.49,5.00 X 5.11,5.20 X 5.32,0.41000,0.45000,0.43000
TRILLIANT,5.20 X 5.22,TR46,0.46-0.55,5.10 X 5.11,5.30 X 5.32,0.44000,0.48000,0.46000
TRILLIANT,5.30 X 5.24,TR46,0.46-0.55,5.20 X 5.15,5.40 X 5.32,0.47000,0.51000,0.49000
TRAPEZOIDE BRILLIANT,2.40 X 4.22,TZ17,0.13-0.17,2.30 X 3.99,2.50 X 4.44,0.12000,0.16000,0.14000
TRAPEZOIDE BRILLIANT,2.50 X 4.22,TZ17,0.13-0.17,2.40 X 3.99,2.60 X 4.44,0.13000,0.17000,0.15000
TRAPEZOIDE BRILLIANT,2.60 X 4.22,TZ17,0.13-0.17,2.50 X 3.99,2.70 X 4.44,0.13000,0.17000,0.15000
TRAPEZOIDE BRILLIANT,2.70 X 4.64,TZ18,0.18-0.22,2.60 X 4.45,2.80 X 4.82,0.17000,0.21000,0.19000
TRAPEZOIDE BRILLIANT,2.80 X 4.64,TZ18,0.18-0.22,2.70 X 4.45,2.90 X 4.82,0.18000,0.22000,0.20000
TRAPEZOIDE BRILLIANT,2.90 X 5.02,TZ23,0.23-0.29,2.80 X 4.83,3.00 X 5.21,0.21000,0.25000,0.23000
TRAPEZOIDE BRILLIANT,3.00 X 5.02,TZ23,0.23-0.29,2.90 X 4.83,3.10 X 5.21,0.23000,0.27000,0.25000
TRAPEZOIDE BRILLIANT,3.10 X 5.02,TZ23,0.23-0.29,3.00 X 4.83,3.20 X 5.21,0.24000,0.28000,0.26000
TRAPEZOIDE BRILLIANT,3.20 X 5.41,TZ30,0.30-0.39,3.10 X 5.22,3.30 X 5.60,0.29000,0.33000,0.31000
TRAPEZOIDE BRILLIANT,3.30 X 5.41,TZ30,0.30-0.39,3.20 X 5.22,3.40 X 5.60,0.30000,0.34000,0.32000
TRAPEZOIDE BRILLIANT,3.40 X 5.82,TZ36,0.36-0.45,3.30 X 5.61,3.50 X 6.03,0.36000,0.40000,0.38000
TRAPEZOIDE BRILLIANT,3.50 X 5.82,TZ36,0.36-0.45,3.40 X 5.61,3.60 X 6.03,0.37000,0.41000,0.39000
TRAPEZOIDE BRILLIANT,3.60 X 5.82,TZ40,0.40-0.49,3.50 X 5.61,3.70 X 6.03,0.38000,0.42000,0.40000
TRAPEZOIDE BRILLIANT,3.70 X 6.17,TZ46,0.46-0.55,3.60 X 6.04,3.80 X 6.29,0.44000,0.48000,0.46000
TRAPEZOIDE BRILLIANT,3.80 X 6.38,TZ50,0.50-0.59,3.70 X 6.26,3.90 X 6.50,0.48000,0.52000,0.50000
TRAPEZOIDE BRILLIANT,3.90 X 6.38,TZ50,0.50-0.59,3.80 X 6.26,4.00 X 6.50,0.50000,0.54000,0.52000
PEAR,3.50 X 2.30,PS8,0.07-0.08,3.40 X 2.20,3.60 X 2.40,0.05000,0.09000,0.07000
PEAR,3.60 X 2.37,PS8,0.07-0.08,3.50 X 2.27,3.70 X 2.47,0.05000,0.09000,0.07000
PEAR,3.70 X 2.43,PS8,0.07-0.08,3.60 X 2.33,3.80 X 2.53,0.06000,0.10000,0.08000
PEAR,3.80 X 2.50,PS12,0.09-0.12,3.70 X 2.40,3.90 X 2.60,0.07000,0.11000,0.09000
PEAR,3.90 X 2.57,PS12,0.09-0.12,3.80 X 2.47,4.00 X 2.67,0.08000,0.12000,0.10000
PEAR,4.00 X 2.63,PS12,0.09-0.12,3.90 X 2.53,4.10 X 2.73,0.08000,0.12000,0.10000
PEAR,4.10 X 2.70,PS12,0.09-0.12,4.00 X 2.60,4.20 X 2.80,0.09000,0.13000,0.11000
PEAR,4.20 X 2.76,PS12,0.09-0.12,4.10 X 2.66,4.30 X 2.86,0.10000,0.14000,0.12000
PEAR,4.30 X 2.83,PS17,0.13-0.17,4.20 X 2.73,4.40 X 2.93,0.11000,0.15000,0.13000
PEAR,4.40 X 2.89,PS17,0.13-0.17,4.30 X 2.79,4.50 X 2.99,0.12000,0.16000,0.14000
PEAR,4.50 X 2.96,PS17,0.13-0.17,4.40 X 2.86,4.60 X 3.06,0.13000,0.17000,0.15000
PEAR,4.60 X 3.03,PS17,0.13-0.17,4.50 X 2.93,4.70 X 3.13,0.14000,0.18000,0.16000
PEAR,4.70 X 3.09,PS17,0.13-0.17,4.60 X 2.99,4.80 X 3.19,0.15000,0.19000,0.17000
PEAR,4.80 X 3.16,PS18,0.18-0.22,4.70 X 3.06,4.90 X 3.26,0.16000,0.20000,0.18000
PEAR,4.90 X 3.22,PS18,0.18-0.22,4.80 X 3.12,5.00 X 3.32,0.17000,0.21000,0.19000
PEAR,5.00 X 3.29,PS18,0.18-0.22,4.90 X 3.19,5.10 X 3.39,0.18000,0.22000,0.20000
PEAR,5.10 X 3.36,PS18,0.18-0.22,5.00 X 3.26,5.20 X 3.46,0.19000,0.23000,0.21000
PEAR,5.20 X 3.42,PS23,0.23-0.29,5.10 X 3.32,5.30 X 3.52,0.21000,0.25000,0.23000
PEAR,5.30 X 3.49,PS23,0.23-0.29,5.20 X 3.39,5.40 X 3.59,0.22000,0.26000,0.24000
PEAR,5.40 X 3.55,PS23,0.23-0.29,5.30 X 3.45,5.50 X 3.65,0.23000,0.27000,0.25000
PEAR,5.50 X 3.62,PS23,0.23-0.29,5.40 X 3.52,5.60 X 3.72,0.25000,0.29000,0.27000
PEAR,5.60 X 3.68,PS23,0.23-0.29,5.50 X 3.58,5.70 X 3.78,0.26000,0.30000,0.28000
PEAR,5.70 X 3.75,PS30,0.30-0.39,5.60 X 3.65,5.80 X 3.85,0.28000,0.32000,0.30000
PEAR,5.80 X 3.82,PS30,0.30-0.39,5.70 X 3.72,5.90 X 3.92,0.30000,0.34000,0.32000
PEAR,5.90 X 3.88,PS30,0.30-0.39,5.80 X 3.78,6.00 X 3.98,0.31000,0.35000,0.33000
PEAR,6.00 X 3.95,PS30,0.30-0.39,5.90 X 3.85,6.10 X 4.05,0.33000,0.37000,0.35000
PEAR,6.10 X 4.01,PS36,0.36-0.45,6.00 X 3.91,6.20 X 4.11,0.35000,0.39000,0.37000
PEAR,6.20 X 4.08,PS36,0.36-0.45,6.10 X 3.98,6.30 X 4.18,0.37000,0.41000,0.39000
PEAR,6.30 X 4.14,PS40,0.40-0.49,6.20 X 4.04,6.40 X 4.24,0.39000,0.43000,0.41000
PEAR,6.40 X 4.21,PS40,0.40-0.49,6.30 X 4.11,6.50 X 4.31,0.41000,0.45000,0.43000
PEAR,6.50 X 4.28,PS40,0.40-0.49,6.40 X 4.18,6.60 X 4.38,0.43000,0.47000,0.45000
PEAR,6.60 X 4.34,PS46,0.46-0.55,6.50 X 4.24,6.70 X 4.44,0.45000,0.49000,0.47000
PEAR,6.85 X 4.40,PS50,0.50-0.59,6.75 X 4.30,6.95 X 4.50,0.51000,0.55000,0.53000
PEAR,7.20 X 4.70,PS60,0.60-0.69,7.10 X 4.60,7.30 X 4.80,0.61000,0.65000,0.63000
PEAR,8.00 X 5.10,PS70,0.70-0.79,7.60 X 4.90,8.50 X 5.30,0.70000,0.79000,0.74000
PEAR,8.20 X 5.30,PS80,0.80-0.89,7.90 X 5.10,8.90 X 5.50,0.80000,0.89000,0.84000
PEAR,8.50 X 5.50,PS90,0.90-0.99,8.20 X 5.30,9.10 X 5.70,0.90000,0.99000,0.95000
PEAR,8.80 X 5.80,PS100,1.00-1.19,8.50 X 5.50,9.50 X 5.90,1.00000,1.19000,1.04000
PEAR,9.60 X 5.90,PS120,1.20-1.39,9.20 X 5.70,10.20 X 6.20,1.20000,1.39000,1.25000
PEAR,10.20 X 6.20,PS140,1.40-1.49,9.70 X 5.90,10.50 X 6.40,1.40000,1.49000,1.45000
PEAR,10.40 X 6.40,PS150,1.50-1.69,9.90 X 6.20,10.90 X 6.60,1.50000,1.69000,1.55000
PEAR,10.80 X 6.60,PS170,1.70-1.99,10.40 X 6.40,11.50 X 6.90,1.70000,1.99000,1.75000
PEAR,11.40 X 7.10,PS200,2.00-2.49,10.60 X 6.80,12.10 X 7.30,2.00000,2.49000,2.08000
PEAR,12.00 X 7.60,PS250,2.50-2.99,11.30 X 7.20,12.70 X 7.80,2.50000,2.99000,2.60000
MARQUISE,3.90 X 2.05,M6,0.04-0.06,3.80 X 1.95,4.00 X 2.15,0.04000,0.08000,0.06000
MARQUISE,4.00 X 2.11,M6,0.04-0.06,3.90 X 2.01,4.10 X 2.21,0.04000,0.08000,0.06000
MARQUISE,4.10 X 2.16,M8,0.07-0.08,4.00 X 2.06,4.20 X 2.26,0.05000,0.09000,0.07000
MARQUISE,4.20 X 2.21,M8,0.07-0.08,4.10 X 2.11,4.30 X 2.31,0.05000,0.09000,0.07000
MARQUISE,4.30 X 2.26,M8,0.07-0.08,4.20 X 2.16,4.40 X 2.36,0.06000,0.10000,0.08000
MARQUISE,4.40 X 2.32,M12,0.09-0.12,4.30 X 2.22,4.50 X 2.42,0.07000,0.11000,0.09000
MARQUISE,4.50 X 2.37,M12,0.09-0.12,4.40 X 2.27,4.60 X 2.47,0.07000,0.11000,0.09000
MARQUISE,4.60 X 2.42,M12,0.09-0.12,4.50 X 2.32,4.70 X 2.52,0.08000,0.12000,0.10000
MARQUISE,4.70 X 2.47,M12,0.09-0.12,4.60 X 2.37,4.80 X 2.57,0.09000,0.13000,0.11000
MARQUISE,4.80 X 2.53,M12,0.09-0.12,4.70 X 2.43,4.90 X 2.63,0.09000,0.13000,0.11000
MARQUISE,4.90 X 2.58,M12,0.09-0.12,4.80 X 2.48,5.00 X 2.68,0.10000,0.14000,0.12000
MARQUISE,5.00 X 2.63,M17,0.13-0.17,4.90 X 2.53,5.10 X 2.73,0.11000,0.15000,0.13000
MARQUISE,5.10 X 2.68,M17,0.13-0.17,5.00 X 2.58,5.20 X 2.78,0.12000,0.16000,0.14000
